keyCount,best_success_probability,wallet,p_safe,p_lost,p_leaked,p_stolen
2,0.5,[1],0.0,0.5,0.05,0.05
2,0.5,[1],0.0,0.5,0.05,0.1
2,0.5,[1],0.0,0.5,0.05,0.15
2,0.5,[1],0.0,0.5,0.05,0.2
2,0.5,[1],0.0,0.5,0.05,0.25
2,0.55,[3],0.0,0.5,0.05,0.3
2,0.6,[3],0.0,0.5,0.05,0.35
2,0.65,[3],0.0,0.5,0.05,0.4
2,0.5,[1],0.0,0.5,0.1,0.05
2,0.5,[1],0.0,0.5,0.1,0.1
2,0.5,[1],0.0,0.5,0.1,0.15
2,0.5,[1],0.0,0.5,0.1,0.2
2,0.5,[1],0.0,0.5,0.1,0.25
2,0.55,[3],0.0,0.5,0.1,0.3
2,0.6,[3],0.0,0.5,0.1,0.35
2,0.5,[1],0.0,0.5,0.15,0.05
2,0.5,[1],0.0,0.5,0.15,0.1
2,0.5,[1],0.0,0.5,0.15,0.15
2,0.5,[1],0.0,0.5,0.15,0.2
2,0.5,[1],0.0,0.5,0.15,0.25
3,0.5074999999999998,"[3, 5, 6]",0.0,0.5,0.05,0.05
3,0.515,"[3, 5, 6]",0.0,0.5,0.05,0.1
3,0.5224999999999999,"[3, 5, 6]",0.0,0.5,0.05,0.15
3,0.53,"[3, 5, 6]",0.0,0.5,0.05,0.2
3,0.54375,"[3, 5]",0.0,0.5,0.05,0.25
3,0.57,"[3, 5]",0.0,0.5,0.05,0.3
3,0.6,[3],0.0,0.5,0.05,0.35
3,0.665,[7],0.0,0.5,0.05,0.4
3,0.515,"[3, 5, 6]",0.0,0.5,0.1,0.05
3,0.5300000000000001,"[3, 5, 6]",0.0,0.5,0.1,0.1
3,0.545,"[3, 5, 6]",0.0,0.5,0.1,0.15
3,0.56,"[3, 5, 6]",0.0,0.5,0.1,0.2
3,0.575,"[3, 5, 6]",0.0,0.5,0.1,0.25
3,0.5900000000000001,"[3, 5, 6]",0.0,0.5,0.1,0.3
3,0.6112499999999998,"[3, 5]",0.0,0.5,0.1,0.35
3,0.5224999999999999,"[3, 5, 6]",0.0,0.5,0.15,0.05
3,0.545,"[3, 5, 6]",0.0,0.5,0.15,0.1
3,0.5674999999999999,"[3, 5, 6]",0.0,0.5,0.15,0.15
3,0.59,"[3, 5, 6]",0.0,0.5,0.15,0.2
3,0.6125,"[3, 5, 6]",0.0,0.5,0.15,0.25
4,0.5075000000000001,"[3, 5, 9, 14]",0.0,0.5,0.05,0.05
4,0.5149999999999996,"[3, 5, 6]",0.0,0.5,0.05,0.1
4,0.5225,"[3, 5, 6]",0.0,0.5,0.05,0.15
4,0.5645,"[7, 11, 13, 14]",0.0,0.5,0.05,0.2
4,0.6125,"[7, 11, 13, 14]",0.0,0.5,0.05,0.25
4,0.6544999999999993,"[7, 11, 13, 14]",0.0,0.5,0.05,0.3
4,0.6905000000000002,"[7, 11, 13, 14]",0.0,0.5,0.05,0.35
4,0.7205000000000003,"[7, 11, 13, 14]",0.0,0.5,0.05,0.4
4,0.5149999999999995,"[3, 5, 6]",0.0,0.5,0.1,0.05
4,0.5300000000000002,"[3, 5, 9, 14]",0.0,0.5,0.1,0.1
4,0.5449999999999999,"[3, 5, 9, 14]",0.0,0.5,0.1,0.15
4,0.5765000000000003,"[7, 11, 13, 14]",0.0,0.5,0.1,0.2
4,0.6312500000000002,"[7, 11, 13, 14]",0.0,0.5,0.1,0.25
4,0.6814999999999992,"[7, 11, 13, 14]",0.0,0.5,0.1,0.3
4,0.7272500000000004,"[7, 11, 13, 14]",0.0,0.5,0.1,0.35
4,0.5225,"[3, 5, 6]",0.0,0.5,0.15,0.05
4,0.5449999999999999,"[3, 5, 9, 14]",0.0,0.5,0.15,0.1
4,0.5674999999999997,"[3, 5, 9, 14]",0.0,0.5,0.15,0.15
4,0.5939999999999996,"[3, 5, 14]",0.0,0.5,0.15,0.2
4,0.6499999999999997,"[7, 11, 13, 14]",0.0,0.5,0.15,0.25
