scenario,2,3,4
"SAFE=0.5000,LOST=0.0500,LEAKED=0.0500,STOLEN=0.4000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.507500),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) (p=0.507500)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.1000,STOLEN=0.3500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.515000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.515000)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.1500,STOLEN=0.3000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.522500),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.522500)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.2000,STOLEN=0.2500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.530000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.564500)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.2500,STOLEN=0.2000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) (p=0.543750),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.612500)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.3000,STOLEN=0.1500",(1 AND 2) (p=0.550000),(1 AND 2) OR (1 AND 3) (p=0.570000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.654500)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.3500,STOLEN=0.1000",(1 AND 2) (p=0.600000),(1 AND 2) (p=0.600000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.690500)
"SAFE=0.5000,LOST=0.0500,LEAKED=0.4000,STOLEN=0.0500",(1 AND 2) (p=0.650000),(1 AND 2 AND 3) (p=0.665000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.720500)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.0500,STOLEN=0.3500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.515000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.515000)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.530000),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) (p=0.530000)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1500,STOLEN=0.2500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.545000),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) (p=0.545000)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.560000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.576500)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2500,STOLEN=0.1500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.575000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.631250)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",(1 AND 2) (p=0.550000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.590000),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.681500)
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3500,STOLEN=0.0500",(1 AND 2) (p=0.600000),(1 AND 2) OR (1 AND 3) (p=0.611250),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.727250)
"SAFE=0.5000,LOST=0.1500,LEAKED=0.0500,STOLEN=0.3000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.522500),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.522500)
"SAFE=0.5000,LOST=0.1500,LEAKED=0.1000,STOLEN=0.2500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.545000),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) (p=0.545000)
"SAFE=0.5000,LOST=0.1500,LEAKED=0.1500,STOLEN=0.2000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.567500),(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) (p=0.567500)
"SAFE=0.5000,LOST=0.1500,LEAKED=0.2000,STOLEN=0.1500",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.590000),(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) (p=0.594000)
"SAFE=0.5000,LOST=0.1500,LEAKED=0.2500,STOLEN=0.1000",(1) (p=0.500000),(1 AND 2) OR (1 AND 3) OR (2 AND 3) (p=0.612500),(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) (p=0.650000)
