Wallet,Optimal_Count,Percentage
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),7914,33.78%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),7914,33.78%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),4053,17.30%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),1342,5.73%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),286,1.22%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),285,1.22%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),278,1.19%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),277,1.18%
(1) OR (2) OR (3) OR (4),275,1.17%
(1 AND 2 AND 3 AND 4),275,1.17%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),95,0.41%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),95,0.41%
(1) OR (2) OR (3 AND 4),58,0.25%
(1 AND 2 AND 3) OR (1 AND 2 AND 4),58,0.25%
(1 AND 2) OR (1 AND 3) OR (2 AND 4),55,0.23%
(1) OR (2) OR (3),37,0.16%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),37,0.16%
(1 AND 2) OR (3 AND 4),37,0.16%
(1 AND 2 AND 3),37,0.16%
-1,18,0.08%
(1) OR (2),0,0.00%
(1) OR (2 AND 3),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4),0,0.00%
(1) OR (2 AND 3 AND 4),0,0.00%
(1 AND 2),0,0.00%
(1 AND 2) OR (1 AND 3),0,0.00%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),0,0.00%
(1 AND 2) OR (1 AND 3 AND 4),0,0.00%
